pharmacy_name,city,phone,website,email
49TH PARALLEL PHARMACY,White Rock,(778) 294-7737,https://www.49thparallelpharmacy.com/,49thparallelpharmacy@gmail.com
8TH STREET PHARMACY,Kamloops,(778) 470-9345,https://www.8thstreetpharmacy.ca/,eighthstreetpharmacy@gmail.com
ABBY PHARMACY,Abbotsford,(604) 504-0060,https://abbypharmacy.ca/,info@abbypharmacy.ca
ACKROYD PHARMACY,Richmond,(604) 207-9972,https://www.ackroydpharmacy.ca/,manager@ackroydpharmacy.ca
ALDERGROVE COMMUNITY PHARMACY,Aldergrove,(604) 607-7404,https://healthfulpharmacy.ca/aldergrovepharmacy/,aldergrove@hfpharma.ca
ALERT BAY DRUGS,Alert Bay,(250) 974-5712,https://alertbaydrugstore.com/,alertbaydrugs@outlook.com
ALL CURE PHARMACY,Surrey,(778) 592-2500,https://www.allcurepharmacy.ca/,allcurepharmacy1@gmail.com
ANCHOR COMPOUNDING PHARMACY,Nanaimo,(250) 591-4411,https://anchorcompounding.com/,trjpharma@gmail.com
ANDREEN'S PHARMACY,West Kelowna,(250) 769-2014,https://andreens-pharmacy.ca/,andreens@teampractice.ca
APEX PHARMACY,Abbotsford,(604) 870-0171,https://www.apexpharmacybc.ca/,info@apexpharmacybc.ca
ASHER PHARMACY & CLINIC,Kelowna,(250) 223-0101,https://asherpharmacy.ca/,WeCare@asherpharmacy.ca
ASKEW'S PHARMACY,Salmon Arm,(250) 832-7655,https://www.askewsfoods.com/,info@askewsfoods.com
BAINS PHARMACY LTD.,Delta,(604) 543-0911,https://www.bainspharmacy.ca/,bainspharmacy@gmail.com
BALANCED HEALTH INTEGRATIVE PHARMACY,North Vancouver,(604) 971-4075,https://balancedhealthpharmacy.com/,clientcare@balancedhealthpharmacy.com
BAYSHORE PHARMACY,Burnaby,1-855-237-2473,https://www.bayshore.ca/locations/bayshore-pharmacy-south-surrey-bc/,bsrxpharmabc@bayshore.ca
BEST VALUE PHARMACY,Nanaimo,(236) 897-0737,https://bestvaluepharmacy.ca/,bestvaluepharmacy001@gmail.com
BETA PHARMACY,Burnaby,(604) 299-6004,https://betapharmacy.ca,info@betapharmacy.ca
BIOPRO BIOLOGICS PHARMACY,Vancouver,(778) 379-8161,https://biopropharmacy.ca,info@biopropharmacy.ca
BIOSENSE COMPOUNDING PHARMACY,Richmond,(604) 278-7955,https://www.biosenseclinic.com,contact@biosenseclinic.com
BUDGET PHARMACY,Duncan,(250) 597-7751,https://www.budgetpharmacy.ca/,contact@budgetpharmacy.ca
BURNABY PHARMACY,Burnaby,(604) 453-0136,http://burnabypharmacy.com/,info@burnabypharmacy.com
CAMPBELL HEIGHTS PHARMACY,Surrey,(604) 924-7445,https://campbellheights.ca,care@campbellheights.ca
CANDRUG,Surrey,(604) 543-8711,https://www.candrug.com,CustomerService@candrug.com
CAP PHARMACY,Richmond,(236) 987-7788,https://cap-pharmacy.com,info@cap-pharmacy.com
CARE BOOST PHARMACY,Surrey,(604) 582-5111,https://www.careboost.ca,careboostpharmacy@gmail.com
CARE BOOST PHARMACY #2,Surrey,(604) 630-6895,https://www.careboost.ca,careboostpharmacyno2@gmail.com
